poziom,nazwa,rodzic,typ,slug,H1,meta_title,meta_description,produkty_KOBI,volume,priorytet
1,Pokój dziecka i nastolatka,-,kategoria,/sklep/pokoj-dziecka/,Meble do pokoju dziecka i nastolatka,Meble do pokoju dziecka i nastolatka | KOBI,"Meble dziecięce i młodzieżowe od polskiego producenta: łóżka, biurka, szafy, regały i komody. Gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź modele.","cała gałąź dziecięca",-,P1
2,Łóżka dziecięce,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/lozka-dzieciece/,Łóżka dziecięce,Łóżka dziecięce - szeroki wybór modeli | KOBI,"Łóżka dziecięce z barierką i materacem od producenta. Modele z grafiką, domki i klasyczne. Polski producent, wysyłka 3-5 dni. Zobacz pełną ofertę.","AUTO, EMMA, ERYK, LEO, DUBI, FALA, ANIMALS, ANNA, MAX, LUK, Kareta",-,P1
2,Łóżka młodzieżowe,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/lozka-mlodziezowe/,Łóżka młodzieżowe,Łóżka młodzieżowe rozsuwane | KOBI,"Łóżka młodzieżowe rozsuwane z szufladami, funkcja sofy dziennej. Tapicerowane panele velvet. Polski producent, gwarancja 24 mies. Sprawdź modele HELIOS.",HELIOS,-,P1
2,Biurka dziecięce i młodzieżowe,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/biurka-dzieciece/,Biurka dziecięce i młodzieżowe,Biurka dziecięce i młodzieżowe | KOBI,"Biurka dziecięce i młodzieżowe: regulowane, z nadstawką, szkolne. Ergonomiczne dla ucznia. Polski producent, wysyłka 3-5 dni. Zobacz modele.","ELISS dziecięce, BASIC, PUFFI",210,P1
2,Szafy dziecięce,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/szafy-dzieciece/,Szafy do pokoju dziecięcego,Szafy dziecięce - do pokoju dziecka | KOBI,"Szafy do pokoju dziecięcego: gładkie i graficzne fronty, wymienne uchwyty. Z lustrem lub bez. Polski producent, gwarancja 24 mies. Sprawdź modele.","STELLA, MELI, DUNO",5400,P1
2,Komody dziecięce,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/komody-dzieciece/,Komody dziecięce,Komody dziecięce do pokoju dziecka | KOBI,"Komody dziecięce z szufladami, gładkie i z grafiką. Pasują do łóżek i szaf z kolekcji. Polski producent, wysyłka 3-5 dni. Zobacz pełną ofertę.","komody dziecięce, fronty graficzne",-,P1
2,Regały dziecięce,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/regaly-dzieciece/,Regały dziecięce,Regały dziecięce - na zabawki i książki | KOBI,"Regały dziecięce: otwarte na zabawki i książki, do pokoju dziecka. Stabilne i bezpieczne. Polski producent, gwarancja 24 mies. Sprawdź modele LONI.",LONI,-,P1
2,Szafki nocne dziecięce,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/szafki-nocne-dzieciece/,Szafki nocne dziecięce,Szafki nocne dziecięce | KOBI,"Szafki nocne dziecięce do pokoju chłopca i dziewczynki, z szufladą. Pasują do łóżek z kolekcji. Polski producent, wysyłka 3-5 dni. Zobacz modele.","szafki nocne dziecięce",390,P2
2,Toaletki dziecięce,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/toaletki-dzieciece/,Toaletki dziecięce,Toaletki dziecięce dla dziewczynki | KOBI,"Toaletki dziecięce z lustrem dla dziewczynki, styl skandynawski i boho. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź modele.","toaletki dziecięce",-,P2
2,Półki dla dzieci,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/polki-dla-dzieci/,Półki dla dzieci,Półki dla dzieci - ścienne i chmurki | KOBI,"Półki dla dzieci: ścienne, w kształcie chmurki, zestawy półek. Lekki montaż na ścianie. Polski producent, wysyłka 3-5 dni. Zobacz pełną ofertę.","LEWIT, MELI, CHMURKI, SERCA",-,P2
2,Stoliki i krzesełka dziecięce,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/stoliki-i-krzeselka/,Stoliki i krzesełka dziecięce,Stoliki i krzesełka dziecięce | KOBI,"Stoliki i krzesełka dziecięce do zabawy i nauki, dopasowane wzrostem. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź zestawy.","stoliki i krzesełka",-,P2
2,Skrzynie na zabawki,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/skrzynie-na-zabawki/,Skrzynie na zabawki,Skrzynie na zabawki do pokoju dziecka | KOBI,"Skrzynie na zabawki do pokoju dziecka, pojemne i bezpieczne. Pomagają utrzymać porządek. Polski producent, wysyłka 3-5 dni. Zobacz modele.","skrzynie",-,P2
2,Barierki i akcesoria,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/barierki/,Barierki do łóżka dziecięcego,Barierki do łóżka dziecięcego | KOBI,"Barierki ochronne do łóżka dziecięcego, montaż lewo- i prawostronny. Stelaże dziecięce. Polski producent, wysyłka 3-5 dni. Sprawdź ofertę.","barierki, stelaże dziecięce",-,P2
3,Łóżko z barierką,Łóżka dziecięce,landing-filtr,/sklep/pokoj-dziecka/lozka-dzieciece/z-barierka/,Łóżko dziecięce z barierką,Łóżko dziecięce z barierką - bezpieczne | KOBI,"Łóżka dziecięce z barierką chroniącą przed wypadnięciem, montaż z dowolnej strony. Polski producent, gwarancja 24 mies. Sprawdź bezpieczne modele.","EMMA, ERYK, AUTO, FALA, LEO",590,P2
3,Łóżko dla dziewczynki,Łóżka dziecięce,landing-filtr,/sklep/pokoj-dziecka/lozka-dzieciece/dla-dziewczynki/,Łóżko dla dziewczynki,Łóżko dla dziewczynki | KOBI,"Łóżka dla dziewczynki: serduszka, księżniczka, jednorożec. Z barierką i materacem. Polski producent, wysyłka 3-5 dni. Zobacz modele EMMA i FALA.","EMMA, FALA",-,P2
3,Łóżko dla chłopca,Łóżka dziecięce,landing-filtr,/sklep/pokoj-dziecka/lozka-dzieciece/dla-chlopca/,Łóżko dla chłopca,Łóżko dla chłopca - auta i piłka | KOBI,"Łóżka dla chłopca z grafiką: auta, wyścigi, piłka nożna. Z barierką i materacem. Polski producent, gwarancja 24 mies. Sprawdź modele AUTO i GOAL.","AUTO, GOAL",-,P2
3,Łóżko Montessori,Łóżka dziecięce,landing-filtr,/sklep/pokoj-dziecka/lozka-dzieciece/montessori/,Łóżko Montessori podłogowe,Łóżko Montessori dla dziecka | KOBI,"Łóżko Montessori nisko nad podłogą, dziecko wchodzi i schodzi samo. Barierka ochronna. Polski producent, wysyłka 3-5 dni. Zobacz model LEO.",LEO,-,P2
3,Łóżka dla rodzeństwa,Łóżka dziecięce,landing-filtr,/sklep/pokoj-dziecka/lozka-dzieciece/dla-rodzenstwa/,Łóżka dla rodzeństwa i podwójne,Łóżka dla rodzeństwa - podwójne | KOBI,"Łóżka dla rodzeństwa: podwójne i rozsuwane, dwa miejsca do spania. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź EMMA II i HELIOS.","EMMA II, FALA II, HELIOS",880,P2
3,Łóżko dziecięce drewniane,Łóżka dziecięce,landing-filtr,/sklep/pokoj-dziecka/lozka-dzieciece/drewniane/,Łóżko dziecięce drewniane,Łóżko dziecięce drewniane - sosna | KOBI,"Łóżko dziecięce z litego drewna sosnowego w formie domku, wersja naturalna i biała. Polski producent, wysyłka 3-5 dni. Zobacz model DUBI.",DUBI,-,P2
3,Białe meble dziecięce,Pokój dziecka,landing-filtr,/sklep/pokoj-dziecka/biale/,Białe meble dziecięce,Białe meble dziecięce | KOBI,"Białe meble dziecięce: łóżka, biurka, szafy i komody pasujące do każdego wnętrza. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź.","białe warianty serii",320,P2
3,Meble do pokoju dziewczynki,Pokój dziecka,landing-filtr,/sklep/pokoj-dziecka/dla-dziewczynki/,Meble do pokoju dziewczynki,Meble do pokoju dziewczynki | KOBI,"Meble do pokoju dziewczynki: łóżka, toaletki, komody i szafy w stonowanych kolorach. Polski producent, wysyłka 3-5 dni. Zobacz pomysły i modele.","EMMA, FALA, toaletki",2900,P1
3,Meble do pokoju chłopca,Pokój dziecka,landing-filtr,/sklep/pokoj-dziecka/dla-chlopca/,Meble do pokoju chłopca,Meble do pokoju chłopca | KOBI,"Meble do pokoju chłopca: łóżka z grafiką aut i piłki, biurka i regały. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź ofertę.","AUTO, GOAL, FALA",1000,P1
3,Meble do pokoju nastolatka,Pokój dziecka,landing-filtr,/sklep/pokoj-dziecka/dla-nastolatka/,Meble do pokoju nastolatka,Meble do pokoju nastolatka | KOBI,"Meble do pokoju nastolatka: łóżka rozsuwane, biurka regulowane i szafy. Nowoczesne i pojemne. Polski producent, wysyłka 3-5 dni. Zobacz modele.","HELIOS, FLEXI, ELISS",-,P2
3,Regał na zabawki,Regały dziecięce,landing-filtr,/sklep/pokoj-dziecka/regaly-dzieciece/na-zabawki/,Regał na zabawki,Regał na zabawki do pokoju dziecka | KOBI,"Regał na zabawki: otwarte półki, łatwy dostęp dla dziecka, porządek w pokoju. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Zobacz LONI.",LONI,22200,P1
3,Regał na książki dziecięcy,Regały dziecięce,landing-filtr,/sklep/pokoj-dziecka/regaly-dzieciece/na-ksiazki/,Regał na książki dziecięcy,Regał na książki do pokoju dziecka | KOBI,"Regał na książki do pokoju dziecka: otwarte półki, stabilna konstrukcja. Polski producent, wysyłka 3-5 dni. Sprawdź modele do pokoju dziecięcego.",LONI,-,P2
3,Biurko regulowane elektryczne,Biurka dziecięce,landing-filtr,/sklep/pokoj-dziecka/biurka-dzieciece/regulowane-elektryczne/,Biurko regulowane elektrycznie,Biurko regulowane elektryczne | KOBI,"Biurko regulowane elektrycznie, praca siedząc i na stojąco, panel LED z pamięcią ustawień. Polski producent, gwarancja 24 mies. Zobacz FLEXI i ELISS.","FLEXI, ELISS",2900,P1
3,Biurko narożne,Biurka dziecięce,landing-filtr,/sklep/pokoj-dziecka/biurka-dzieciece/narozne/,Biurko narożne,Biurko narożne - oszczędza miejsce | KOBI,"Biurko narożne wykorzystujące róg pokoju, dużo miejsca na blacie. Polski producent, wysyłka 3-5 dni. Sprawdź modele DYLAN do nauki i pracy.","DYLAN, Daniel",27100,P1
1,Meble z grafiką i nadrukiem,-,kategoria,/sklep/meble-z-grafika/,Meble z grafiką i nadrukiem,Meble z grafiką i nadrukiem | KOBI,"Meble z grafiką i nadrukiem od producenta: łóżka, szafy, komody i regały z motywami dla dzieci. Trwały nadruk UV. Wysyłka 3-5 dni. Zobacz kolekcję.","AUTO, FALA, ANIMALS, fronty graficzne",-,P1
2,Łóżka z grafiką,Meble z grafiką,kategoria,/sklep/meble-z-grafika/lozka-z-grafika/,Łóżka z grafiką,Łóżka z grafiką dla dzieci | KOBI,"Łóżka z grafiką dla dzieci: auta, zwierzęta, bajki. Nadruk UV, bezpieczne farby, barierka. Polski producent, gwarancja 24 mies. Sprawdź modele.","AUTO, FALA, ANIMALS, ANNA",-,P1
2,Łóżka bajkowe,Meble z grafiką,kategoria,/sklep/meble-z-grafika/lozka-bajkowe/,Łóżka bajkowe,Łóżka bajkowe dla dzieci | KOBI,"Łóżka bajkowe: domek, kareta, jednorożec, kotek. Z barierką i materacem. Polski producent, wysyłka 3-5 dni. Zobacz bajkowe modele dla dziecka.","FALA, DUBI, Kareta",-,P1
3,Łóżko autko,Łóżka z grafiką,landing-filtr,/sklep/meble-z-grafika/lozka-z-grafika/autko/,Łóżko autko dla chłopca,Łóżko autko - samochód dla chłopca | KOBI,"Łóżko autko z grafiką wyścigówki i terenówki, ulubione motywy chłopców. Z barierką. Polski producent, gwarancja 24 mies. Sprawdź serię AUTO.",AUTO,-,P2
3,Łóżko domek,Łóżka bajkowe,landing-filtr,/sklep/meble-z-grafika/lozka-bajkowe/domek/,Łóżko domek dla dziecka,Łóżko domek dla dziecka | KOBI,"Łóżko domek z dachem, w wersji drewnianej sosnowej i z grafiką. Z barierką. Polski producent, wysyłka 3-5 dni. Zobacz modele DUBI i FALA.","DUBI, FALA",480,P2
3,Łóżko kareta,Łóżka bajkowe,landing-filtr,/sklep/meble-z-grafika/lozka-bajkowe/kareta/,Łóżko kareta dla dziewczynki,Łóżko kareta dla dziewczynki | KOBI,"Łóżko kareta dla małej księżniczki, bajkowy kształt powozu. Z barierką i materacem. Polski producent, gwarancja 24 mies. Sprawdź model.",Kareta,-,P2
3,Łóżko jednorożec i kotek,Łóżka bajkowe,landing-filtr,/sklep/meble-z-grafika/lozka-bajkowe/jednorozec-kotek/,Łóżko jednorożec i kotek,"Łóżko jednorożec, kotek dla dziewczynki | KOBI","Łóżka z grafiką jednorożca i kotka dla dziewczynki, nadruk UV. Z barierką. Polski producent, wysyłka 3-5 dni. Zobacz bajkowe modele FALA.","FALA, ANIMALS",-,P2
3,Łóżko dla księżniczek,Łóżka bajkowe,landing-filtr,/sklep/meble-z-grafika/lozka-bajkowe/dla-ksiezniczek/,Łóżko dla księżniczek,Łóżko dla księżniczek | KOBI,"Łóżko dla księżniczek z bajkowym motywem, w bieli i różu. Z barierką i materacem. Polski producent, gwarancja 24 mies. Sprawdź modele EMMA i FALA.","EMMA, FALA",480,P2
2,Komody z grafiką,Meble z grafiką,landing-filtr,/sklep/meble-z-grafika/komody-z-grafika/,Komody z grafiką,Komoda z grafiką do pokoju dziecka | KOBI,"Komody z grafiką do pokoju dziecka, fronty z nadrukiem dopasowane do łóżek. Polski producent, wysyłka 3-5 dni. Zobacz komody z motywem.","komody graficzne",-,P2
2,Szafy z nadrukiem,Meble z grafiką,landing-filtr,/sklep/meble-z-grafika/szafy-z-nadrukiem/,Szafy z nadrukiem,Szafa z nadrukiem do pokoju dziecka | KOBI,"Szafy z nadrukiem do pokoju dziecka, graficzne fronty i wymienne uchwyty. Polski producent, gwarancja 24 mies. Sprawdź szafy z motywem.","STELLA, DUNO",-,P2
1,Meble smart / oszczędzające miejsce,-,kategoria,/sklep/meble-smart/,Meble smart oszczędzające miejsce,Meble smart - oszczędzające miejsce | KOBI,"Meble smart do małego mieszkania: półkotapczany, biurka rozkładane, łóżka rozsuwane. Polski producent, wysyłka 3-5 dni. Sprawdź meble 2w1.","VERTO, HELIOS",-,P1
2,Półkotapczany,Meble smart,kategoria,/sklep/meble-smart/polkotapczany/,Półkotapczany - łóżka w szafie,Półkotapczany - łóżka składane do szafy | KOBI,"Półkotapczany VERTO: łóżko składane pionowo do szafy, na siłownikach gazowych. Różne szerokości i kolory. Polski producent, gwarancja 24 mies.",VERTO,-,P1
2,Biurka rozkładane,Meble smart,kategoria,/sklep/meble-smart/biurka-rozkladane/,Biurka rozkładane chowane,Biurko rozkładane chowane w szafkę | KOBI,"Biurko rozkładane chowane w szafkę, blat na siłownikach i wbudowane półki. Oszczędza miejsce. Polski producent, wysyłka 3-5 dni. Zobacz VERTO.",VERTO,-,P2
2,Łóżka rozsuwane,Meble smart,landing-filtr,/sklep/meble-smart/lozka-rozsuwane/,Łóżka rozsuwane,Łóżko rozsuwane 2w1 z szufladami | KOBI,"Łóżko rozsuwane z pojedynczego w podwójne, dwie szuflady, funkcja sofy. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź HELIOS.",HELIOS,-,P2
2,Łóżka z pojemnikiem,Meble smart,landing-filtr,/sklep/meble-smart/lozka-z-pojemnikiem/,Łóżka z pojemnikiem,Łóżko z pojemnikiem na pościel | KOBI,"Łóżka z pojemnikiem i szufladami na pościel, więcej miejsca do przechowywania. Polski producent, wysyłka 3-5 dni. Zobacz modele z pojemnikiem.","EMMA, ERYK, HELIOS",1600,P2
1,Sypialnia,-,kategoria,/sklep/sypialnia/,Meble do sypialni,Meble do sypialni | KOBI,"Meble do sypialni: łóżka, szafy, komody, szafki nocne i toaletki. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź ofertę.","łóżka, szafy, komody",-,P2
2,Łóżka pojedyncze,Sypialnia,kategoria,/sklep/sypialnia/lozka-pojedyncze/,Łóżka pojedyncze,Łóżka pojedyncze | KOBI,"Łóżka pojedyncze do sypialni i pokoju młodzieżowego, stabilny stelaż. Polski producent, wysyłka 3-5 dni. Zobacz dostępne modele i kolory.","łóżka pojedyncze",-,P2
2,Łóżka tapicerowane,Sypialnia,kategoria,/sklep/sypialnia/lozka-tapicerowane/,Łóżka tapicerowane z panelami,Łóżka tapicerowane z panelami velvet | KOBI,"Łóżka tapicerowane z miękkimi panelami velvet przy wezgłowiu, różne kolory. Polski producent, gwarancja 24 mies. Sprawdź modele ERYK i HELIOS.","ERYK, HELIOS",-,P2
2,Szafy,Sypialnia,kategoria,/sklep/sypialnia/szafy/,Szafy,Szafy do sypialni i pokoju | KOBI,"Szafy do sypialni: gładkie i graficzne fronty, wymienne uchwyty, z lustrem. Polski producent, wysyłka 3-5 dni. Zobacz dostępne modele.","STELLA, DUNO",-,P2
2,Komody,Sypialnia,kategoria,/sklep/sypialnia/komody/,Komody,Komody do sypialni i salonu | KOBI,"Komody z szufladami do sypialni i salonu, gładkie i z grafiką. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź modele i kolory.",komody,-,P2
2,Szafki nocne,Sypialnia,kategoria,/sklep/sypialnia/szafki-nocne/,Szafki nocne,Szafki nocne do sypialni | KOBI,"Szafki nocne z szufladą do sypialni, pasujące do łóżek z kolekcji. Polski producent, wysyłka 3-5 dni. Zobacz dostępne modele i kolory.","szafki nocne",-,P2
2,Toaletki,Sypialnia,kategoria,/sklep/sypialnia/toaletki/,Toaletki,Toaletki z lustrem do sypialni | KOBI,"Toaletki z lustrem do sypialni i pokoju, styl skandynawski i nowoczesny. Polski producent, gwarancja 24 mies. Sprawdź dostępne modele.",toaletki,-,P2
3,Komoda biała,Komody,landing-filtr,/sklep/sypialnia/komody/biala/,Komoda biała,Komoda biała z szufladami | KOBI,"Komoda biała z szufladami do sypialni, salonu i pokoju dziecka, pasuje do każdego wnętrza. Polski producent, wysyłka 3-5 dni. Sprawdź modele.","komody białe",27100,P2
3,Szafka nocna biała,Szafki nocne,landing-filtr,/sklep/sypialnia/szafki-nocne/biala/,Szafka nocna biała,Szafka nocna biała z szufladą | KOBI,"Szafka nocna biała z szufladą, pasuje do białych łóżek i sypialni. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Zobacz modele.","szafki nocne białe",8100,P2
3,Szafka nocna czarna,Szafki nocne,landing-filtr,/sklep/sypialnia/szafki-nocne/czarna/,Szafka nocna czarna,Szafka nocna czarna | KOBI,"Szafka nocna czarna z szufladą do nowoczesnej sypialni. Polski producent, wysyłka 3-5 dni. Sprawdź dostępne modele i wymiary.","szafki nocne czarne",2900,P2
1,Salon i jadalnia,-,kategoria,/sklep/salon/,Meble do salonu i jadalni,Meble do salonu i jadalni | KOBI,"Meble do salonu i jadalni: szafki RTV, regały, stoły, stoliki kawowe i krzesła. Polski producent, wysyłka 3-5 dni. Sprawdź ofertę.","RTV, regały, stoły",-,P2
2,Szafki RTV,Salon,kategoria,/sklep/salon/szafki-rtv/,Szafki RTV,Szafki RTV do salonu | KOBI,"Szafki RTV do salonu, miejsce na sprzęt i akcesoria, różne szerokości. Polski producent, gwarancja 24 mies. Sprawdź dostępne modele i kolory.","szafki RTV",-,P2
2,Regały,Salon,kategoria,/sklep/salon/regaly/,Regały,Regały do salonu i pokoju | KOBI,"Regały otwarte i zamykane do salonu i pokoju, na książki i dekoracje. Polski producent, wysyłka 3-5 dni. Zobacz dostępne modele.",regały,-,P2
2,Stoły,Salon,kategoria,/sklep/salon/stoly/,Stoły,Stoły do jadalni i salonu | KOBI,"Stoły do jadalni i salonu, na różną liczbę osób. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź dostępne modele.",stoły,-,P2
2,Stoliki kawowe,Salon,kategoria,/sklep/salon/stoliki-kawowe/,Stoliki kawowe,Stoliki kawowe do salonu | KOBI,"Stoliki kawowe do salonu, praktyczny blat na drobiazgi. Polski producent, wysyłka 3-5 dni. Zobacz dostępne modele i kolory.","stoliki kawowe",-,P2
2,Krzesła,Jadalnia,kategoria,/sklep/salon/krzesla/,Krzesła,Krzesła do jadalni i salonu | KOBI,"Krzesła do jadalni i salonu, wygodne i stabilne. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź dostępne modele.",krzesła,-,P2
1,Przedpokój,-,kategoria,/sklep/przedpokoj/,Meble do przedpokoju,Meble do przedpokoju | KOBI,"Meble do przedpokoju: szafki na buty, wieszaki i komody. Porządek przy wejściu. Polski producent, wysyłka 3-5 dni. Sprawdź ofertę.","szafki na buty, wieszaki",-,P2
2,Szafki na buty,Przedpokój,kategoria,/sklep/przedpokoj/szafki-na-buty/,Szafki na buty,Szafki na buty z siedziskiem | KOBI,"Szafki na buty z siedziskiem do przedpokoju, miejsce na obuwie i wygodne siadanie. Polski producent, gwarancja 24 mies. Sprawdź modele.","szafki na buty",1000,P2
2,Wieszaki,Przedpokój,kategoria,/sklep/przedpokoj/wieszaki/,Wieszaki,Wieszaki do przedpokoju | KOBI,"Wieszaki do przedpokoju na kurtki i akcesoria, stojące i ścienne. Polski producent, wysyłka 3-5 dni. Zobacz dostępne modele.",wieszaki,-,P2
1,Łazienka,-,kategoria,/sklep/lazienka/,Meble łazienkowe,Meble łazienkowe | KOBI,"Meble łazienkowe: szafki pod umywalkę, słupki i zestawy. Odporne na wilgoć. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź ofertę.","szafki łazienkowe",-,P2
2,Szafki łazienkowe,Łazienka,kategoria,/sklep/lazienka/szafki-lazienkowe/,Szafki łazienkowe,Szafki łazienkowe pod umywalkę | KOBI,"Szafki łazienkowe pod umywalkę i wiszące, biała i grafitowa. Polski producent, wysyłka 3-5 dni. Zobacz dostępne modele i kolory.","szafki łazienkowe",-,P2
1,Materace,-,kategoria,/sklep/materace/,Materace,Materace piankowe i pianka-kokos | KOBI,"Materace piankowe i pianka-kokos, w tym dziecięce. Zdejmowany pokrowiec. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź modele.","piankowe, pianka-kokos",-,P2
2,Materace dziecięce,Materace,kategoria,/sklep/materace/dzieciece/,Materace dziecięce,Materace dziecięce pianka-kokos | KOBI,"Materace dziecięce piankowe i z kokosem, zdejmowany pokrowiec na zamek. Polski producent, wysyłka 3-5 dni. Zobacz materace do łóżek dziecięcych.","pianka, pianka-kokos",-,P2
1,Meble ogrodowe,-,kategoria,/sklep/ogrod/,Meble ogrodowe,Meble ogrodowe - zestawy technorattan | KOBI,"Meble ogrodowe: zestawy z technorattanu i aluminium, poduszki wodoodporne. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź zestawy.","NICEA, MILANO, MAROKO",-,P2
2,Zestawy technorattan,Meble ogrodowe,kategoria,/sklep/ogrod/technorattan/,Zestawy ogrodowe technorattan,Meble ogrodowe technorattan - zestawy | KOBI,"Zestawy ogrodowe z technorattanu na 6-7 osób, poduszki w pokrowcach wodoodpornych. Polski producent, gwarancja 24 mies. Sprawdź MILANO i MAROKO.","SYCYLIA, MILANO, MAROKO, FLORENCJA, OLIMPIA",-,P2
2,Zestawy aluminiowe,Meble ogrodowe,kategoria,/sklep/ogrod/aluminium/,Zestawy ogrodowe aluminiowe,Meble ogrodowe aluminiowe premium | KOBI,"Zestawy ogrodowe z aluminium malowanego proszkowo, blat w imitacji drewna. Polski producent, wysyłka 3-5 dni. Sprawdź premium model NICEA.",NICEA,-,P2
1,Kolekcje,-,kategoria,/sklep/kolekcje/,Kolekcje mebli,Kolekcje mebli - dobrane zestawy | KOBI,"Kolekcje mebli KOBI: spójne kolorystycznie zestawy łóżek, szaf, komód i biurek. Polski producent, gwarancja 24 mies. Sprawdź DREAM, SCANDI i LOFT.","DREAM, SCANDI, LOFT, GOAL, GRAFF, VENUS",-,P2
